algorithm,ensemble_size,depth,timeout,mean_score,std_score,mean_time,best_score,best_set
NMCS,200,10,100,0.74725,0.056864861733763136,100.12086703777314,0.8655,"[('AKT2', True), ('CTNNB1', True), ('Migration', True), ('NICD', False), ('NICD', True), ('SMAD', True), ('SNAI1', True), ('ZEB1', True), ('miR203', True), ('p21', True)]"
LNMCS,200,10,100,0.755,0.043118441530277996,92.02862389087677,0.8005000000000001,"[('AKT2', True), ('CDH2', False), ('CDH2', True), ('CTNNB1', True), ('ECMicroenv', True), ('NICD', True), ('SNAI1', True), ('SNAI2', True), ('p21', True), ('p53', False)]"
BILNMCS,200,10,100,0.8048,0.03925506336767271,52.455344152450564,0.865,"[('AKT2', True), ('CTNNB1', True), ('DNAdamage', False), ('GF', False), ('Metastasis', True), ('SNAI1', True), ('TGFbeta', True), ('p21', True), ('p63', False), ('p73', False)]"
NRPA,200,10,100,0.83485,0.04832496766682826,100.13107814788819,0.9009999999999999,"[('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('DKK1', False), ('DNAdamage', False), ('ECMicroenv', False), ('NICD', True), ('SMAD', True), ('SNAI1', True), ('TGFbeta', True)]"
GNRPA,200,10,100,0.79015,0.07160099510481682,90.82823843955994,0.8815000000000001,"[('AKT1', True), ('TWIST1', True), ('DNAdamage', False), ('ECMicroenv', True), ('p73', False), ('p21', True), ('SNAI1', True), ('Metastasis', True), ('AKT2', True), ('CTNNB1', True)]"
NMCS,500,10,100,0.6974,0.06056636396915739,100.20507647991181,0.7853333333333333,"[('AKT1', True), ('CDH1', False), ('CDH2', True), ('DKK1', False), ('ECMicroenv', True), ('TGFbeta', True), ('ZEB2', False), ('ZEB2', True), ('miR200', False), ('p21', True)]"
LNMCS,500,10,100,0.7698666666666667,0.045215090892803095,100.20839464664459,0.8453333333333334,"[('AKT2', True), ('CDH1', False), ('CDH2', False), ('CDH2', True), ('DKK1', False), ('NICD', True), ('SMAD', True), ('SNAI2', False), ('SNAI2', True), ('ZEB2', True)]"
BILNMCS,500,10,100,0.7964,0.06510176648908995,51.72551856040955,0.885,"[('CTNNB1', True), ('DKK1', False), ('NICD', True), ('SMAD', True), ('SNAI1', True), ('TGFbeta', True), ('TWIST1', True), ('ZEB2', True), ('p21', True), ('p63', False)]"
NRPA,500,10,100,0.8209666666666667,0.025142460765273843,100.1694236755371,0.8606666666666668,"[('AKT1', True), ('AKT2', True), ('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('ECMicroenv', True), ('NICD', True), ('SNAI1', True), ('SNAI2', True), ('p21', True)]"
GNRPA,500,10,100,0.7731,0.06526374695546266,94.86004209518433,0.8513333333333333,"[('ECMicroenv', True), ('DNAdamage', False), ('SMAD', True), ('p63', False), ('Migration', True), ('NICD', True), ('CTNNB1', True), ('ZEB2', True), ('AKT2', True), ('CDH1', False)]"
NMCS,700,10,100,0.7510857142857142,0.057439202996005495,100.20163714885712,0.8679999999999999,"[('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', True), ('Metastasis', True), ('Migration', True), ('NICD', True), ('SNAI1', True), ('TWIST1', True)]"
