algorithm,ensemble_size,depth,timeout,mean_score,std_score,mean_time,best_score,best_set
NMCS,1000,4,10,0.5270666666666666,0.06456758732780196,10.243735766410827,0.6516666666666665,"[('AKT1', True), ('CTNNB1', True), ('GF', True), ('SNAI1', True)]"
LNMCS,1000,4,10,0.5667666666666666,0.07937562598178372,10.221169662475585,0.6726666666666666,"[('Metastasis', False), ('NICD', True), ('SMAD', True), ('SNAI2', True)]"
BILNMCS,1000,4,10,0.57636,0.10554717618202772,10.240636396408082,0.8028000000000001,"[('DNAdamage', False), ('NICD', True), ('TWIST1', True), ('miR200', False)]"
NRPA,1000,4,10,0.5703333333333334,0.08377310626527676,10.275534176826477,0.6880000000000003,"[('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('SNAI1', True)]"
GNRPA,1000,4,10,0.5545333333333333,0.08172204924824959,10.219436955451965,0.6866666666666665,"[('p63', False), ('p21', True), ('p53', False), ('TWIST1', True)]"
NMCS,1000,5,10,0.5770666666666666,0.052104553010696164,10.253138613700866,0.6689999999999998,"[('AKT1', True), ('CDH2', True), ('DNAdamage', False), ('NICD', True), ('SNAI2', True)]"
LNMCS,1000,5,10,0.5793333333333335,0.04862006901590244,10.282165622711181,0.6673333333333333,"[('AKT1', True), ('AKT2', True), ('CTNNB1', True), ('Metastasis', False), ('NICD', True)]"
BILNMCS,1000,5,10,0.6209600000000001,0.0745360476548093,10.172990012168885,0.7976000000000001,"[('CDH1', False), ('DNAdamage', False), ('ECMicroenv', True), ('Metastasis', False), ('TWIST1', True)]"
NRPA,1000,5,10,0.6030666666666666,0.11504992153167445,10.230612921714783,0.7309999999999999,"[('AKT2', True), ('CTNNB1', True), ('DNAdamage', False), ('GF', True), ('NICD', True)]"
GNRPA,1000,5,10,0.5388666666666666,0.07785330935662127,10.254314851760864,0.678,"[('VIM', False), ('GF', True), ('SMAD', True), ('TWIST1', True), ('CTNNB1', True)]"
NMCS,1000,6,10,0.5907333333333333,0.09606592643712042,10.355927085876464,0.6859999999999998,"[('AKT1', True), ('CTNNB1', True), ('NICD', True), ('TGFbeta', True), ('ZEB2', True), ('miR34', False)]"
